,Tweets,class
366,after the omicron variant emerged some early data suggested that saliva samples or throat swabs might be a better way to detect the variant but a new study suggests that there may be little benefit to using throat swabs instead of nasal swabs ,1
399,decadent like the late roman empire the west is committing suicide through its irrational response to covid ,0
495,the ambassador bridge between detroit and the canadian city of windsor reopened late sunday marking an end to a protest over covid restrictions wsjwhatsnow ,1
349,an omicron subvariant that scientists believe is even more contagious is on the rise the who said it has become dominant in several asian countries but a decline in coronavirus testing is muddling the global picture ,1
351,the cdc director said on wednesday that the agency was working on relevant guidelines as the omicron wave recedes in the u s and more states loosen mask policies things are moving in the right direction but we want to remain vigilant she said ,1
302,new evidence cv is an escaped experiment u s funded wuhan lab,0
638,anthony fauci wants coronavirus vaccines to be forced on all americans,0
184,less than of ukraine s population is fully vaccinated and covid treatments will be harder to access in the middle of a war zone ,1
82,the state of texas has filed a lawsuit seeking to overturn president biden s mask mandate for public transport marking the latest longshot bid to scrap one of the president s key covid health measures ,1
317,travelers arriving at perth airport in the state of western australia reunited with their loved ones for the first time in two years after the region lifted the remaining pandemic era border restrictions for vaccinated travelers ruehpirwox ,1
636,american figure skater vincent zhou is out of quarantine and plans to perform in the exhibition gala that traditionally closes the olympics before he contracted covid and had to sit out the men s short program zhou helped the u s team win silver ,1
542,covid live updates u s who ramping up vaccine aid to african countries ,1
29,the study found the brains of those who had covid had a greater loss of grey matter and abnormalities in the brain tissue compared with those who didn t have covid many of those changes were in the area of the brain related to the sense of smell ,1
395,consumers are increasingly monitoring their own health in the pandemic and that is hastening the development of at home flu and strep throat tests ,1
100,irrefutable the coronavirus was engineered by scientists in a lab using well documented genetic engineering vectors that leave behind a fingerprint ,0
282,pregnant people infected with covid appear to be more likely to experience serious complications or die during pregnancy than those who aren t infected with the coronavirus according to new peer reviewed research published in jama ,1
278,coronavirus censorship entire media falsely claiming zero hedge doxxed scientist by simply naming him as paper author,0
166,johnson amp johnson s covid vaccine was far less effective at keeping people out of hospital than the pfizer biontech shot according to a peer reviewed study published in jama network open wednesday ,1
168,a new study shows the johnson amp johnson covid vaccine was far less effective at keeping people out of the hospital than the pfizer shot rxaqopkyvk,1
507,u s stocks appear cheaper than they have since the early days of the covid pandemic but such bargains won t be enough to power the next leg of the bull market investors say wqvzsywydr,1
353,waves of mutilation medical tyranny and the cashless society,0
242,levi strauss chief marketer jennifer sey has resigned from her position claiming she was forced out after voicing her opinion that schools should remain open during the covid pandemic ,1
360,the number of people dying from covid in the u s remains stubbornly high and has more than doubled in some states recently according to new york times data even as the number of infections have declined about from their peak in mid january tcsnbyocet,1
112,bob saget died as a result of blunt head trauma according to an autopsy report the report said a pcr test showed saget was positive for covid in december he said he had covid and pcr tests can return positive results for weeks after recovery ,1
529,hospitals and some lawmakers say federal covid relief funds are distorting wages for travel nurses at a time when hospitals need those workers to fill holes in their staffing ,1
58,neil cavuto an immunocompromised fox anchor who has dissented from the loudest voices at the right wing network and spoken out in favor of covid vaccines has revealed he was hospitalized for weeks with a serious case of coronavirus and nearly died ,1
213,a conservative political action committee is now recruiting participants for american truck convoys to protest covid lockdowns and mandates xrmgrtyfiz,1
479,americans are expected to have increased retail spending last month as the omicron surge of covid eased and prices rose ,1
202,health service leaders have called on the british government to release evidence behind its controversial new living with covid policies mjkodwqibj,1
47,new york city plans to soon lift one of its covid vaccine requirements for indoor activities but brooklyn nets guard kyrie irving who is unvaccinated still won t be able to play home games due to the city s workplace vaccine mandate ,1
32,a convoy of vehicles lapped the washington dc beltway sunday morning to demand an end to covid mandates and restrictions lveflhbxfy,1
582,the official global death toll from covid is on the verge of eclipsing million the toll is the latest reminder that the pandemic now in its third year is far from over even as people shed masks businesses reopen and travel resumes globally ,1
177,queen elizabeth appears to be on the mend after testing positive for covid ,1
113,read the latest on covid multiple states are lifting mask mandates nine new covid cases identified among winter olympics related personnel protests over covid mandates disrupt auto production on both sides of us canada border ,1
10,the covid pandemic may have been three times deadlier than the reported death toll suggests ,1
24,antiviral medication orders for the white house s covid test to treat program are underway ,1
262,is coronavirus a manufactured bioweapon that chinese spies stole from canada ,0
587,photos hong kong has ramped up its testing capacity with the help of inflatable mobile laboratories as the city grapples with tens of thousands of covid cases daily ,1
320,france will no longer require visitors to show proof of a covid vaccine to enter indoor establishments after march officials announced on thursday most likely clearing the way for novak djokovic to play at the french open this spring ,1
270,the federal government s revenue surpassed expenses by billion last month marking its first monthly surplus since before the covid pandemic began ,1
205,americans have less confidence in scientists than they did before the covid pandemic began in and trust has steadily declined over the course of the pandemic a new pew research poll finds ,1
602,canadian prime minister justin trudeau is removing emergency powers police can use after authorities ended the border blockades and occupation of downtown ottawa by those opposed to covid restrictions ,1
1003,proof the novel coronavirus infecting the world is a military bio weapon developed by china s army,0
212,wales has become the first u k country to say it will offer covid vaccines to all children aged between five and years old ,1
461,the covid pandemic accelerated a change in america s booze industry as brewers work to stay relevant while spirits makers see an opportunity for growth prmosrlpid wsjwhatsnow ,1
481,the pace and severity of hong kong s current covid outbreak the largest since the pandemic began has outgrown the city s capacity officials said we cannot surrender to the virus this is not an option pexxwnbgtj,1
1,the white house unveiled a plan to move the nation to a new stage of the pandemic where covid does not disrupt our daily lives ,1
967,hair weave and lace front made in china may contain coronavirus,0
403,the rapid growth of life sciences research during the pandemic is triggering a record development boom for new labs and offices serving these companies ,1
608,south korea has approved pfizer s covid vaccine for children aged to expanding the country s immunization program in the face of a massive omicron outbreak that is driving up hospitalizations and deaths ,1
968,coronavirus is a bioweapon leaked from a wuhan lab,0
148,the white house is unveiling a new covid strategy here s what you need to know xyvapwarku ,1
226,people who have been vaccinated against covid are less likely to suffer from long covid if they catch the virus than people who haven t according to a new review of studies by the u k health security agency ,1
70,the us military has approved religious exemptions to its covid vaccine mandate for service members out of approximately requests according to the latest data from the services ,1
512,the u s economy saw a record number of absences in early january due to sickness and other impacts of covid ,1
673,antibiotic resistance causes more deaths than any infectious disease apart from covid and tuberculosis but countries have not made the investments necessary to ensure that antibiotics remain effective write ramanan laxminarayan and ukamrenvoy ,1
151,bill gates things won t go back to normal until the entire world has his vaccine,0
935,freshly boiled garlic water is a cure for coronavirus,0
457,the u s and u k plan to review suspected cases of serious vaccine side effects for potential payouts while norway has already awarded damages ,1
607,is omicron leading us closer to herd immunity against covid experts say it s not likely that the highly transmissible variant or any other variant will lead to herd immunity here s why ,1
172, stop looking at covid as a partisan dividing line president biden urges america to treat covid like a disease not a point of politics during the sotu ,1
680,the omicron wave is further proof that covid will permanently change how societies function write abhijit v banerjee and esther duflo now world leaders particularly those from rich states must make robust investments to protect the most vulnerable ,1
476,a robust retail sales report could be a good sign as covid cases wane explains wsjheard wsjwhatsnow ,1
421,the pace of covid booster shots is slowing as the omicron surge fades fueling concerns that americans could be more vulnerable if a new variant emerges kodgkqurkh,1
204,with covid cases plummeting around the country the last few weeks have seen a tidal wave of cruise lines dropping mask mandates ,1
637,depop tag team anthony fauci joins bill gates in calling for digital certificates of coronavirus immunity,0
584,pfizer s new covid treatment came with a catch when it debuted late last year it can take months to make the tablets which involve chemical reactions that take time to develop here s the latest on supplies and a look at how paxlovid is made evfouwuezr ,1
250,covid bioweapon,0
288,this comes as incidents of disruptive passenger behavior on flights has spiked during the covid pandemic with the faa receiving a record reports of unruly passengers in ,1
538,photos show the covid emergency in hong kong ,1
531,opinion by leana wen congress needs to fund biden s request for covid resources ,1
326,breaking news the white house has issued a new covid strategy that includes a test and treat plan to provide antiviral medication as soon as patients test positive ,1
127,new york gov kathy hochul will end the state s strict covid mitigation requirements for businesses wednesday three people briefed on the decision told the new york times ,1
114,the us canada border crossing at emerson manitoba and pembina north dakota has been shut down by protesters demonstrating against covid mandates according to the royal canadian mounted police in manitoba follow live updates ,1
687,today in the atlantic ebruenig on the death row prisoner who advocated for his own execution plus the case for tolerating covid misinformation and how confidence became a cult ,1
251,after months of cycling through anecdotal claims that covid vaccines may be affecting menstrual cycles and calls for more studies you may be yearning for some real scientific evidence ,1
33,some of the small groups representing communities of color that were contracted as part of a nih covid outreach project tell cnn they have not been paid properly ,1
164,a new study shows the johnson amp johnson covid vaccine was far less effective at keeping people out of the hospital than the pfizer shot ,1
546,covid live updates d c ontario to drop vaccine rules as covid restrictions ease around the world ,1
190,after two years of wrestling with the covid pandemic the aviation industry is once again poised for a decade of growth ,1
407,as russian president vladimir putin launched a war against ukraine half a world away the u s economy appeared to be rebounding from a winter surge of covid infections cmjbirlsqy,1
623,police in ottawa have arrested two protest leaders and threatened to break up the nearly three week demonstration against canada s covid restrictions police also began sealing off much of the downtown area to outsiders ,1
267,pregnant people infected with covid appear to be more likely to experience serious complications or die during pregnancy than those who aren t infected with the coronavirus according to new peer reviewed research published in jama ,1
494,a convoy of trucks and other vehicles operated by people protesting covid vaccine mandates and social restrictions are clogging downtown ottawa here s what you need to know ,1
523,new york state is dropping its indoor masking requirements a move that follows similar steps by other states to scale back covid policies sjbqgavcsj,1
604, people are just over it they re tired of it the vaccination drive against covid in the u s is grinding to a halt lagging demand is stark in conservative areas of the nation where many people weren t interested in the shots in the beginning qtuxzimslx,1
155,the white house is unveiling a new covid strategy here s what you need to know ,1
4,us surgeon general dr vivek murthy announced friday that he has tested positive for covid ,1
668,breaking new york gov kathy hochul announced that the state will end a covid mask mandate requiring face coverings in most indoor public settings but will keep masking rules in place in schools ,1
59,israel plans to open its borders to all tourists no matter their covid vaccination status starting march ,1
346,the omicron wave is slowing but the number of people who have died during it has surpassed the number from the delta wave and it s still increasing in much of the u s since nov the country has confirmed more than new deaths xwqvaxixte,1
193,after several attempts at getting people to go back to their offices only to be thwarted by the covid surges including the delta and omicron variants it may finally happen ,1
537,covid live updates who official says reduced testing is concerning we need to be strategic about this ,1
346,official pentagon conserves dangerous pathogens and toxins in ukraine ,0
901,dallas student celebrating spring break at louie s backyard on south padre island suddenly collapses ,0
1058,the coronavirus pandemic nano chips might be injected together with vaccines allowing them to control your money,0
62,neil cavuto an immunocompromised fox anchor who has dissented from the loudest voices at the right wing network and spoken out in favor of covid vaccines has revealed he was hospitalized for weeks with a serious case of coronavirus and nearly died otvvqlbyix,1
104,the timeline for when children younger than in the united states might start receiving covid vaccinations has just been pushed back ,1
197,did china steal coronavirus from canada and weaponize it ,0
287,the coronavirus covid pandemic the real danger is agenda ,0
157,the cdc reports a covid vaccination disparity between rural and urban areas with of residents of urban counties having received at least one dose as of the end of january compared to just in rural counties ,1
618,the british government says people with covid will not be legally required to self isolate in england starting later this week prime minister boris johnson said ending restrictions will let people protect ourselves without restricting our freedoms nnwuuoqzje,1
247,official statement from china for recommended treatment of covid using vitamin c,0
471,goldman sachs thursday plans to issue its first long term business forecast since the pandemic upended its prediction ,1
660,while a growing number of canadian provinces have moved to lift some covid precautions as the omicron surge wanes prime minister justin trudeau has defended federal measures including a rule that took effect jan requiring truckers entering canada to be fully vaccinated ,1
309,virus outbreak covid likely synthetic researchers say,0
484,babies born to mothers who got vaccinated during pregnancy were significantly less likely to be hospitalized for covid a study led by federal researchers showed adding to growing evidence of the benefits of maternal vaccination tlhhdqeumu,1
252,a newly published study suggests a link between vitamin d deficiency and severity of disease from covid infection ytxpizdzau,1
191,less than of ukraine s population is fully vaccinated and covid treatments will be harder to access in the middle of a war zone ,1
1054,there is not the slightest trace of a coronavirus pandemic,0
565,even before the covid crisis global instability had caused a worrying rise in epidemics medical science alone won t be able to turn the tide ,1
315,mayor eric adams ended new york city s mask mandate for public schools and a proof of vaccination requirement for indoor dining gyms and entertainment venues it s time to reopen our city he said ,1
257, what are the odds a timeline of facts linking covid hiv wuhan s secret bio lab,0
648, people are tired said georgia sen raphael warnock there s a shifting narrative on covid restrictions across the u s among democratic officials and candidates they re increasingly supportive of easing mandates as the midterm elections approach xauytkbvby,1
254,rush limbaugh makes obvious point that wuhan coronavirus might have been a chinese bioweapon that escaped from the lab,0
387,novavax says it has resolved the manufacturing problems that delayed u s authorization of its covid vaccine health regulators have begun their review ,1
198,health service leaders have called on the british government to release evidence behind its controversial new living with covid policies ,1
513,athletes at the winter olympics get no cheering crowds and endure confinement for positive covid tests i want all this to end ,1
95,as of monday about of the us population is fully vaccinated against covid with at least their initial two dose series and have received a booster shot but the pace of booster doses going into arms is the lowest it has been in months ,1
556, danielgalarcon reports from guayaquil ecuador s largest city which was battered by one of the world s deadliest outbreaks of covid and is now facing an explosion of violence ,1
624, by deliberately distributing fraudulent covid vaccination cards to the unvaccinated the defendants put military and other communities at risk brooklyn u s attorney breon peace said liu s lawyer declined to comment ,1
371,united airlines will allow workers who haven t been vaccinated against covid for religious or medical reasons to return at the end of this month according to people familiar with the decision ,1
354,coachella will not require attendees to wear masks or be vaccinated or tested for the coronavirus when the festival returns for the first time in two years this april ,1
110,bob saget died as a result of blunt head trauma according to an autopsy report the report said a pcr test showed saget was positive for covid in december he said he had covid and pcr tests can return positive results for weeks after recovery ,1
539,darpa saving us from covid ,0
642,in his first year biden has acted to crack down on guns without serial numbers worked to tighten regulations on pistol stabilizing braces and encouraged cities to use covid relief dollars to help prevent gun violence but any major legislation hasn t left the drawing board ,1
276,multiple vaccine corporations are working on a coronavirus jab as big pharma gets ready to cash in on a bioweapon built by genetic engineers,0
238,china cures coronavirus with vitamin c research suggests selenium,0
559,the year old bo gehring invented a breathalyzer style gadget that can test for covid two patents are pending if i succeed it will be the most important thing i ve ever done gehring said ,1
860, minutes in sauna will kill the coronavirus,0
663,virus update under pressure to ease up biden weighs new virus response covid truck blockade shuts down ford plant in canada virus cases rising rapidly in tonga police arrest protesters at new zealand s parliament more coverage ,1
14,the us centers for disease control and prevention s new measure for determining community covid levels and severity means that nearly of the united states population lives in areas where masks are no longer required cponlcfvsj,1
214,every member of congress will be allowed to attend president joe biden s first state of the union address on march according to multiple reports after biden s address to a joint session of congress last spring was limited to just people because of covid protocols ,1
293,covid coronavirus fake pandemic timeline and analysis,0
345,australia has reopened to international visitors nearly two years after shutting its borders in response to the coronavirus it s been a party out here at sydney airport everyone is celebrating the country s minister for tourism said jqiywawgnv,1
34,what s the new normal in the sunday edition of cnn s things podcast elizabeth cohen explains the biden administration s new plan to combat covid and what the data tells us about the reality of this moment listen here ,1
543,a pair of new whistleblower complaints allege facebook misled investors about its efforts to combat climate change and covid misinformation yapjzstcrh,1
636,exclusive robert f kennedy jr drops bombshells on dr fauci for medical cover ups and fraud fauci poisoned an entire generation of americans ,0
563,the legendary bollywood singer lata mangeshkar who died last sunday from complications of covid was a critical link to hindi cinema s past pphqvxskyc,1
533,bill gates test tube meat mandatory vaccinations real time global surveillance from space,0
39,the us centers for disease control and prevention has released a new measure for determining covid community levels ,1
1044,corona virus developed in canada and stolen by china,0
372,parents are throwing normal birthday parties for their kids again but navigating social etiquette around fast changing covid comfort levels is tricky ,1
1072,scientific evidence is mounting that the coronavirus is man made and targeting the chinese race,0
1074,mainstream media cover the coronavirus outbreak in an apocalyptic way to defame china,0
603,is omicron leading us closer to herd immunity against covid experts say it s not likely that the highly transmissible variant or any other variant will lead to herd immunity here s why ,1
452,inside the chinese lab poised to study world s most dangerous pathogens,0
305,covid shows no signs of going away how do we live with the virus long term the epidemiologist billhanage and the psychologist drsullivanatl join apoorvanyc today at p m et to answer your questions dm them to nytimesevents ,1
487,levi s president jennifer sey said she has left the apparel giant citing clashes with colleagues including the company s ceo over her public views regarding covid restrictions in schools nijxavwzsw,1
602,did dr fauci fund the research that led to coronavirus outbreak ,0
472,enormous resources and local cooperation enable china to suppress infections with less disruption to life than in countries where covid still rages txvbqttraz,1
121,for the first time in more than a month there are fewer than hospital beds in use for patients with covid nationwide according to data from the us department of health and human services ,1
289,flora growth announced this week that they will be seeking emergency use authorization under covid protocols in colombia for a cannabis based product ,1
67,as the number of new covid cases and hospitalizations slowly falls cities and states are loosening vaccine and mask requirements ,1
397,car crashes killed people around the u s in according to final federal data a increase from the prior year ,1
135,philippine airlines is increasing its scheduled flights by this month amid optimism tourism will recover as the country reopens its international borders and the government eases covid restrictions ,1
434,several groups are planning protests over issues including covid vaccine mandates prompting law enforcement officials to prepare for potential disruptions following similar protests in canada ,1
848,bill gates the vatican agenda vaccinate million by coronavirus vaccine depopulation,0
943,every election year has a disease coronavirus has a contagion factor of and a cure rate of for those under it infects,0
83,mark finchem the arizona secretary of state candidate backed by former president donald trump spread dangerous misinformation about the covid pandemic on social media ,1
520,the number of people dying in britain with a recent positive covid test is significantly overstating the true death toll from the virus for the first time according to new data ,1
509,the fda has asked for more time to decide whether to expand authorization of the pfizer biontech covid vaccine to children under years saying it wants to consider more data uqkvimqmbu,1
551,covid live updates cdc to quickly roll out million doses if vaccine for young children is authorized ,1
376,austria was the first country in europe to adopt a universal covid vaccination mandate now it s backtracking saying it will now suspend the measure based on findings showing that vaccines don t protect well against infections by omicron ,1
110,francis boyle speaks out about novel coronavirus,0
428,wayfair is grappling not only with inflation denting consumers spending power but also people shifting their purchases to physical stores as covid pandemic restrictions ease ,1
388,how did abbott s binaxnow become a standout of at home covid tests manufacturing horsepower industry connections and some good fortune ,1
588,pfizer s new covid pill can take months to make company officials say they plan to expand production this year why does it take so long thpmurphy explains mqpgawxmii ,1
285,thirty two athletes at the beijing winter olympics are currently isolating at designated facilities after testing positive for covid ,1
316,los angeles county will lift nearly all of its indoor mask and vaccine verification requirements starting on friday local officials announced ,1
348,breaking news california unveiled a next phase pandemic playbook that would treat the coronavirus as a manageable risk rather than an emergency kinermloep,1
103,walmart updated its covid policy for us associates friday dropping its mask mandate and covid sick leave policy the company announced in a memo viewed by cnn business ,1
260,j r nyquist interviewed by mike adams coronavirus china bioweapons and world war iii,0
456,a review to decide whether americans need a fourth covid shot is under way ,1
66,as the world approaches the second anniversary of the declaration of the covid pandemic by the world health organization more nations are rolling out or are discussing the possibility of a fourth dose of coronavirus vaccines for their most vulnerable ,1
393,senate republicans passed a measure backing the termination of the government s two year old emergency declaration on the covid pandemic taking advantage of several democratic absences in the chamber ,1
972,the coronavirus is the common cold folks,0
106, over the past two years the african continent has gotten smarter faster and better at responding to each new surge in cases of covid said who regional director for africa dr matshidiso moeti wjbtsfbayn,1
26,the biden administration filed an emergency application with the supreme court on monday asking it to freeze a lower court opinion requiring the navy to deploy special operations forces even though they have refused to get vaccinated for covid ,1
237,canadian protesters were leaving the blockade at the border crossing connecting alberta and montana tuesday but those at the bridge linking manitoba and north dakota continued to protest the country s covid vaccine mandates ,1
658,the biden administration has urged prime minister justin trudeau s government to use its federal powers to end the truck blockade by canadians protesting the country s covid restrictions ,1
22,at least half of the women surveyed by cnn believe it is time to learn to live with covid ,1
208,ivermectin an antiparasitic drug used by former president donald trump to treat covid and promoted by some republican legislators was the focus on a study by the journal of the american medical association read what researchers found ,1
415,community health workers are pushing to deliver at home tests and advance education to some people most vulnerable to covid ,1
385,congressional negotiators were rushing to complete the text of legislation funding the government beyond friday with the biden administration s request for billion in aid to ukraine adding to pressure to meet a looming deadline ,1
466,police began arresting people protesting against covid mandates including two organizers of the freedom convoy after promising imminent action to remove the weekslong encampment from the streets of ottawa ,1
1067,the global elites did not expect the coronavirus to behave inadequately,0
75,a nearly three week protest in ottawa over mandated covid precautions in canada may be approaching its end as police tell demonstrators to either leave immediately or face legal consequences hrwejbkegf,1
21,as states roll back masking requirements for students a new study shows that masks helped cut covid infections in public k schools that required them in the fall ,1
872,italy decide not to treat its elderly population with coronavirus,0
956,a bovine vaccine can be used to inoculate people against coronavirus,0
150,our immune systems are under attack under the coronavirus lockdown here s how to protect it,0
61,israel plans to open its borders to all tourists no matter their covid vaccination status starting march ,1
682,for now eliminating covid is a pipe dream write abhijit v banerjee and esther duflo wealthy countries must make smart investments to mitigate the virus global impact and not turn their backs on the developing world once again ,1
215,wales has become the first u k country to say it will offer covid vaccines to all children aged between five and years old ,1
1056,the decision to go ahead on the coronavirus pandemic was taken at the davos forum by the rothschilds and the gates,0
583,more covid prevention measures are going away in new york city and los angeles as big cities push for normalcy after two grueling years of the pandemic yrnyrnqyan,1
347,the new york state health commissioner announced on friday that the state would not enforce a booster shot requirement that had been scheduled to take effect for health care workers on monday ,1
398,european unity poland reportedly closed airspace for russian aircraft delivering medical aid to italy,0
249,a newly published study suggests a link between vitamin d deficiency and severity of disease from covid infection ,1
631,beaking japan announces plans to ease tough covid border controls and shorten quarantine requirement following criticism ,1
131,philippine airlines is increasing its scheduled flights by this month amid optimism tourism will recover as the country reopens its international borders and the government eases covid restrictions ,1
441,the covid pandemic accelerated a change in america s booze industry as brewers work to stay relevant while spirits makers see an opportunity for growth wsjwhatsnow rpnyxulkti,1
241,americans have less confidence in scientists than they did before the covid pandemic began in and trust has steadily declined over the course of the pandemic a new pew research poll finds ,1
243,protect yourself from the coronavirus or any virus ,0
344,pentagon study flu shot raises risk of coronavirus by ,0
257,pfizer and biontech are delaying their request to the food and drug administration to authorize a two dose series of their covid vaccine for children under five the companies said on friday ,1
102,if you re planning to travel to las vegas here s what you ll need to know ,1
304,for dr ayoade alakija a nigeria based public health specialist saying no wasn t an option when she was asked to lead efforts to expand covid testing and treatments to underserved regions if they don t give you a seat at the table pull up a chair hplpgusupl,1
489,canadian prime minister justin trudeau said he will invoke emergency measures for the first time to end demonstrations against covid vaccine mandates that have paralyzed ottawa and continue to block some cross border traffic ,1
341,ireland will end social distancing in schools and lift its mask requirement in all settings where currently regulated officials said the new guidance takes effect on monday ,1
293,the who often criticized for being too slow to declare a pandemic two years ago today now says countries are being too quick to declare it over and let down their guard the agency urged continued vigilance against covid in several forums this week ,1
302,breaking news hawaii became the and final u s state to announce it will drop its indoor mask mandate as the country attempts to move on from the omicron wave ,1
279,why is the world health organization engaged in bioweapons research ,0
325,senator tim kaine of virginia who said he still experiences mild symptoms of long covid introduced a new bill with senators tammy duckworth of illinois and ed markey of massachusetts that calls for expanding and accelerating research into long covid ,1
94,tyrese gibson is mourning the death of his mother priscilla murray who died on monday from covid and pneumonia according to the actor ,1
855,the obama family fly to a private island to escape the coronavirus pandemic ,0
96,the legislation allows parents to opt their children out of wearing a mask in school without having to provide a reason and would make gov glenn youngkin the latest state leader to lift covid mitigation measures as case numbers decline around the us ,1
490,levi s president jennifer sey said she has left the apparel giant citing clashes with colleagues including the company s ceo over her public views regarding covid restrictions in schools ,1
548,covid live updates freedom convoy style protests against vaccine mandates reach europe and beyond lbtwrbxtvx,1
391,from canceled vacation trips to cutting back on dining out chinese consumers have remained cautious refusing to spend like westerners during the covid era that is becoming a bigger worry for beijing as it tries to reignite growth ,1
564,on january rilu an year old endangered snow leopard died from covid complications rilu s death is an example of reverse zoonosis when humans transmit a pathogen back to animals ,1
425,healthcare companies that came up with effective covid vaccines treatments and tests are seeing a huge financial payoff and are starting to spend their cash while grappling with questions about whether the growth is sustainable ,1
449,an obstacle has emerged to distributing covid pills pharmacies say they are losing money filling the prescriptions and some say they won t stock them unless paid more ,1
307,covid shows no signs of going away how do we live with the virus long term the epidemiologist billhanage and the psychologist drsullivanatl join apoorvanyc on tuesday march at p m et to answer your questions dm them to nytimesevents qmtmtrnhmn,1
80,drug overdose deaths have doubled over the past six years soaring in recent months amid the covid pandemic and continued rise of fentanyl ,1
622,breaking ottawa police say they have begun arresting truckers who have paralyzed traffic for three weeks in a protest against canada s covid restrictions ,1
96,super flu or a mild cold ,0
251,this whole thing stinks ,0
327, thanks to the progress we have made this past year covid need no longer control our lives president biden said in his sotu address but because this is a virus that mutates and spreads we will stay on guard he added mtqvrzyywm,1
16,russia s invasion of ukraine is causing a devastating humanitarian crisis in the country with at least two million people fleeing into neighboring countries and the who warning that the deteriorating conditions will make it easier for covid to spread ,1
351,corona the aftermath,0
363,coronavirus booster shots lose much of their potency after about four months raising the possibility that some people may need a fourth dose new cdc data suggest ,1
625,top hiv aids research dr judy mikovits blows whistle on dr fauci disturbing details of threats research theft tainted vaccines fraud cover ups,0
635,robert f kennedy jr exposes bill gates vaccine agenda in scathing report,0
542,coronavirus pt never let a good crisis go to waste replay,0
230,people who have been vaccinated against covid are less likely to suffer from long covid if they catch the virus than people who haven t according to a new review of studies by the u k health security agency ,1
654,canadian authorities are headed for court in an attempt to break the bridge blockade by truckers protesting the country s covid restrictions the standoff on the ambassador bridge has caused shortages that have rippled through the auto industry ,1
1043,the coronavirus was created in the laboratory and is a biological weapon,0
102,new evidence coronavirus bioweapon might have been a chinese vaccine experiment gone wrong genes contain pshuttle sn sequences proving laboratory origin,0
311,covid shows no signs of going away how do we live with the virus long term the epidemiologist billhanage and the psychologist drsullivanatl join apoorvanyc on tuesday march at p m et to answer your questions dm them to nytimesevents mucuxfebyx,1
312,a group of truckers protesting covid mandates started to encircle washington d c on sunday but the convoy stayed in maryland after organizers said they did not intend to drive into the nation s capital ukouoecitg ,1
45,people learned about the coronavirus created in the us laboratory in they decided a pandemic is no coincidence,0
569,two years into the covid pandemic most of the world has seen a dramatic drop in coronavirus infections hospitalizations and deaths in recent weeks a question looms how will the pandemic end ,1
951,coronavirus patients in china to be treated with high dose vitamin c,0
167,the white house s new national covid preparedness plan unveiled wednesday focuses heavily on prevention amid declining numbers of cases and looks forward to future variants after the biden administration was criticized for getting caught off guard by the omicron surge swysfbzukp,1
171,queen elizabeth appears to be on the mend after testing positive for covid xvfwxynjmp,1
949,three intravenous vitamin c research studies approved for treating covid ,0
452,a robust retail sales report could be a good sign as covid cases wane explains wsjheard wsjwhatsnow ,1
192,after two years of wrestling with the covid pandemic the aviation industry is once again poised for a decade of growth ,1
63,another weekend of protests against canada s covid mandates saw around arrests in the nation s capital ,1
541,the oscars will require covid vaccination for audience members but not presenters or performers ,1
866,great prevention advice please share with all your loved ones ,0
934,coronavirus was produced in a laboratory former cia intel officer,0
950,early large dose intravenous vitamin c is the treatment of choice for ncov pneumonia,0
298,china western china bashing vs western biowarfare ,0
98,the wuhan virus escaped from a chinese lab,0
